文件名,背景颜色(Background),相机高度(Height),总面积占比(Area_Ratio),累积灰度密度(IOD),最大聚集块面积(Max_Cluster),大块占比(Core_Ratio),Wear_Level
Blue_0 (85).jpg,Blue,0 (85),0.04078,7432979,5500,0.804513,1
Blue_0 (86).jpg,Blue,0 (86),0.023113,4009958,4590,0.726961,1
Blue_0 (87).jpg,Blue,0 (87),0.021697,3771436,2334,0.694789,1
Blue_0 (88).jpg,Blue,0 (88),0.028513,4945840,2318,0.734455,1
Blue_0 (89).jpg,Blue,0 (89),0.035151,6284842,4412,0.765396,1
Blue_0 (9).jpg,Blue,0 (9),0.017972,3056459,2031,0.729457,1
Blue_0 (90).jpg,Blue,0 (90),0.044399,8038916,4514,0.779975,1
Blue_0 (91).jpg,Blue,0 (91),0.05201,9375882,4512,0.80005,2
Blue_0 (92).jpg,Blue,0 (92),0.052561,9621266,4429,0.80289,2
Blue_0 (93).jpg,Blue,0 (93),0.02973,5282631,2331,0.743531,1
Blue_0 (94).jpg,Blue,0 (94),0.019531,3360127,1566,0.669444,0
Blue_0 (95).jpg,Blue,0 (95),0.02643,4585216,2936,0.755234,1
Blue_0 (96).jpg,Blue,0 (96),0.033991,6187618,2944,0.777693,1
Blue_0 (97).jpg,Blue,0 (97),0.038504,6905054,3951,0.776948,1
Blue_0 (98).jpg,Blue,0 (98),0.04552,8309666,3904,0.781531,1
Blue_0 (99).jpg,Blue,0 (99),0.053834,9687968,3900,0.805676,2
White_0 (1).jpg,White,0 (1),0.029644,4740915,2447,0.780747,1
White_0 (10).jpg,White,0 (10),0.053198,8255747,3281,0.814694,2
White_0 (100).jpg,White,0 (100),0.060765,9571727,3313,0.784932,2
White_0 (101).jpg,White,0 (101),0.059623,9412319,3197,0.778904,2
White_0 (102).jpg,White,0 (102),0.043125,6828684,1446,0.716737,1
White_0 (103).jpg,White,0 (103),0.03463,5373557,1407,0.6705,1
White_0 (104).jpg,White,0 (104),0.023767,3407969,1131,0.565924,0
White_0 (105).jpg,White,0 (105),0.013111,1869823,914,0.406522,0
White_0 (106).jpg,White,0 (106),0.010385,1437167,856,0.416675,0
White_0 (107).jpg,White,0 (107),0.017597,2708338,2443,0.62638,0
White_0 (108).jpg,White,0 (108),0.032879,5294133,2443,0.715092,1
White_0 (109).jpg,White,0 (109),0.039618,6558218,2588,0.745892,1
White_0 (11).jpg,White,0 (11),0.046751,7288059,3832,0.794481,1
White_0 (110).jpg,White,0 (110),0.045426,7313188,2752,0.794076,1
White_0 (111).jpg,White,0 (111),0.050996,8319810,3737,0.794906,1
White_0 (112).jpg,White,0 (112),0.055192,8994293,2974,0.80287,2
White_0 (113).jpg,White,0 (113),0.061963,10235698,4330,0.829805,2
White_0 (114).jpg,White,0 (114),0.035582,5584337,2536,0.693767,1
White_0 (115).jpg,White,0 (115),0.027855,4266159,1141,0.637022,0
White_0 (116).jpg,White,0 (116),0.01745,2576437,1026,0.512809,0
White_0 (117).jpg,White,0 (117),0.028228,4386412,3389,0.674995,1
White_0 (118).jpg,White,0 (118),0.03914,6316335,3380,0.74991,1
White_0 (119).jpg,White,0 (119),0.04577,7511508,5415,0.774762,1
White_0 (12).jpg,White,0 (12),0.023223,3424025,2432,0.636015,0
White_0 (120).jpg,White,0 (120),0.054317,8748019,5278,0.788949,2
White_0 (121).jpg,White,0 (121),0.060578,9845533,5334,0.81026,2
White_0 (122).jpg,White,0 (122),0.057416,9267232,3350,0.800699,2
White_0 (123).jpg,White,0 (123),0.04343,7114432,4266,0.7606,1
White_0 (124).jpg,White,0 (124),0.026781,4138541,1431,0.680888,1
White_0 (125).jpg,White,0 (125),0.017331,2513291,1155,0.562046,0
White_0 (126).jpg,White,0 (126),0.010384,1408676,906,0.37325,0
White_0 (127).jpg,White,0 (127),0.007835,1010464,392,0.311314,0
White_0 (128).jpg,White,0 (128),0.007206,1062456,1682,0.487878,0
White_0 (129).jpg,White,0 (129),0.004016,579707,376,0.571737,0
White_0 (13).jpg,White,0 (13),0.016863,2264267,2237,0.508719,0
White_0 (130).jpg,White,0 (130),0.00889,1416604,1475,0.667643,0
White_0 (131).jpg,White,0 (131),0.014767,2334593,2296,0.743846,1
White_0 (132).jpg,White,0 (132),0.023717,3865395,2270,0.742977,1
White_0 (133).jpg,White,0 (133),0.025613,4120453,2171,0.717983,1
White_0 (134).jpg,White,0 (134),0.031345,5028495,2048,0.721684,1
White_0 (135).jpg,White,0 (135),0.038467,6290643,2078,0.748413,1
White_0 (136).jpg,White,0 (136),0.039774,6414058,2919,0.772698,1
White_0 (137).jpg,White,0 (137),0.042653,6877182,3321,0.779999,1
White_0 (138).jpg,White,0 (138),0.02439,3820114,2148,0.658688,0
White_0 (139).jpg,White,0 (139),0.003682,488219,176,0.310345,0
White_0 (14).jpg,White,0 (14),0.012616,1528997,571,0.368883,0
White_0 (140).jpg,White,0 (140),0.002428,300452,96,0.187668,0
White_0 (141).jpg,White,0 (141),0.006434,896803,1634,0.69747,0
White_0 (142).jpg,White,0 (142),0.012298,1734963,1778,0.65202,0
White_0 (143).jpg,White,0 (143),0.01435,1923482,1505,0.521134,0
White_0 (144).jpg,White,0 (144),0.016301,2235390,1563,0.451508,0
White_0 (145).jpg,White,0 (145),0.028279,4223603,2850,0.763334,1
White_0 (146).jpg,White,0 (146),0.038827,5873353,2881,0.769416,1
White_0 (147).jpg,White,0 (147),0.048496,7243214,2786,0.76847,1
White_0 (148).jpg,White,0 (148),0.057393,8508996,2808,0.782429,2
White_0 (149).jpg,White,0 (149),0.05999,8836999,2637,0.789734,2
White_0 (15).jpg,White,0 (15),0.009957,1174006,543,0.284765,0
White_0 (150).jpg,White,0 (150),0.065967,9603356,2539,0.791085,2
White_0 (151).jpg,White,0 (151),0.06563,9558105,2460,0.807126,2
White_0 (152).jpg,White,0 (152),0.062304,9160519,2666,0.742402,2
White_0 (153).jpg,White,0 (153),0.062795,8907000,2685,0.733239,2
White_0 (154).jpg,White,0 (154),0.064524,9243831,2803,0.763945,2
White_0 (155).jpg,White,0 (155),0.064805,9147955,2369,0.730309,2
White_0 (156).jpg,White,0 (156),0.059286,8334403,2249,0.678466,1
White_0 (157).jpg,White,0 (157),0.061021,8680121,2224,0.667568,1
White_0 (158).jpg,White,0 (158),0.061899,8358590,2426,0.627494,1
White_0 (159).jpg,White,0 (159),0.056706,7487505,1413,0.567719,1
White_0 (16).jpg,White,0 (16),0.025323,3675878,3120,0.661968,1
White_0 (160).jpg,White,0 (160),0.046294,5955838,1309,0.496262,0
White_0 (161).jpg,White,0 (161),0.056556,7379150,2337,0.59873,1
White_0 (162).jpg,White,0 (162),0.067684,9445228,3661,0.675014,2
White_0 (163).jpg,White,0 (163),0.075737,10263089,2613,0.692603,2
White_0 (164).jpg,White,0 (164),0.077233,10596579,2316,0.699345,2
White_0 (165).jpg,White,0 (165),0.079604,10866516,2435,0.693442,2
White_0 (166).jpg,White,0 (166),0.08289,11422894,4137,0.716511,2
White_0 (167).jpg,White,0 (167),0.08697,12178204,2318,0.719271,2
White_0 (168).jpg,White,0 (168),0.085552,12075564,2126,0.691559,2
White_0 (169).jpg,White,0 (169),0.086927,12108096,2128,0.666217,2
White_0 (17).jpg,White,0 (17),0.033095,4948887,3089,0.752098,1
White_0 (170).jpg,White,0 (170),0.085809,11637431,2117,0.662072,2
White_0 (171).jpg,White,0 (171),0.082026,11523335,1759,0.652794,2
White_0 (172).jpg,White,0 (172),0.06452,9184569,2316,0.561182,1
White_0 (173).jpg,White,0 (173),0.077753,10736911,2475,0.636588,2
White_0 (174).jpg,White,0 (174),0.078027,10897403,2511,0.647281,2
White_0 (175).jpg,White,0 (175),0.080827,11333223,2413,0.638945,2
White_0 (176).jpg,White,0 (176),0.084826,11817195,2719,0.675501,2
White_0 (177).jpg,White,0 (177),0.087819,12570299,2349,0.67156,2
White_0 (178).jpg,White,0 (178),0.062206,9067879,2298,0.621466,1
White_0 (179).jpg,White,0 (179),0.05437,7564401,2559,0.564133,1
White_0 (18).jpg,White,0 (18),0.027172,3901719,1955,0.715198,1
White_0 (180).jpg,White,0 (180),0.092041,13511951,4673,0.756345,2
White_0 (181).jpg,White,0 (181),0.088462,12758774,3504,0.659659,2
White_0 (182).jpg,White,0 (182),0.0693,9960216,2390,0.637559,2
White_0 (183).jpg,White,0 (183),0.038983,5288802,1643,0.510953,0
White_0 (184).jpg,White,0 (184),0.026485,3426863,1492,0.53386,0
White_0 (185).jpg,White,0 (185),0.020125,2480496,818,0.52154,0
White_0 (186).jpg,White,0 (186),0.034034,4993354,2794,0.69384,1
White_0 (187).jpg,White,0 (187),0.049766,7340664,2857,0.745072,1
White_0 (188).jpg,White,0 (188),0.069745,10964480,2814,0.787685,2
White_0 (189).jpg,White,0 (189),0.072872,10711330,2804,0.784675,2
White_0 (19).jpg,White,0 (19),0.018441,2503699,1574,0.599059,0
White_0 (190).jpg,White,0 (190),0.080889,12297938,2806,0.81566,2
White_0 (191).jpg,White,0 (191),0.082969,12398848,2715,0.798585,2
White_0 (192).jpg,White,0 (192),0.088659,13094884,2651,0.816407,2
White_0 (193).jpg,White,0 (193),0.093028,13588370,4353,0.822535,2
White_0 (194).jpg,White,0 (194),0.096289,14241227,4225,0.821005,2
White_0 (195).jpg,White,0 (195),0.099629,14904804,3856,0.81313,2
White_0 (196).jpg,White,0 (196),0.101146,15316594,3776,0.809464,2
White_0 (197).jpg,White,0 (197),0.103308,15120443,3832,0.807823,2
White_0 (198).jpg,White,0 (198),0.113626,16945718,3971,0.842529,2
White_0 (199).jpg,White,0 (199),0.040753,5860979,2111,0.634352,1
White_0 (2).jpg,White,0 (2),0.029891,4871764,4188,0.766698,1
White_0 (20).jpg,White,0 (20),0.029891,4271269,2565,0.717947,1
White_0 (200).jpg,White,0 (200),0.052891,7403892,6648,0.69186,1
White_0 (201).jpg,White,0 (201),0.061135,8773662,6468,0.734798,2
White_0 (202).jpg,White,0 (202),0.066157,9757757,6298,0.757356,2
White_0 (203).jpg,White,0 (203),0.080419,11760013,5482,0.789419,2
White_0 (204).jpg,White,0 (204),0.084004,12505581,5592,0.801209,2
White_0 (205).jpg,White,0 (205),0.093577,13657593,6270,0.818439,2
White_0 (206).jpg,White,0 (206),0.095429,14062194,3074,0.813797,2
White_0 (207).jpg,White,0 (207),0.099425,15464283,6462,0.812812,2
White_0 (208).jpg,White,0 (208),0.102436,15051377,6075,0.831121,2
White_0 (209).jpg,White,0 (209),0.103045,15083084,6226,0.828728,2
White_0 (21).jpg,White,0 (21),0.035764,5482326,3782,0.741657,1
White_0 (210).jpg,White,0 (210),0.102842,15010817,3522,0.828274,2
White_0 (211).jpg,White,0 (211),0.107955,15945786,5413,0.830296,2
White_0 (212).jpg,White,0 (212),0.115884,16991379,3871,0.846871,2
White_0 (213).jpg,White,0 (213),0.114008,16979456,3065,0.819987,2
White_0 (214).jpg,White,0 (214),0.108485,16019511,3581,0.817814,2
White_0 (215).jpg,White,0 (215),0.089506,13102467,3700,0.791815,2
White_0 (216).jpg,White,0 (216),0.082127,11945308,2409,0.759182,2
White_0 (217).jpg,White,0 (217),0.062339,8618242,2307,0.699471,2
White_0 (218).jpg,White,0 (218),0.055298,7655712,2186,0.656123,1
White_0 (219).jpg,White,0 (219),0.050406,6995707,2686,0.646833,1
White_0 (22).jpg,White,0 (22),0.018262,2744142,2698,0.703981,1
White_0 (220).jpg,White,0 (220),0.038286,5107985,1724,0.581453,0
White_0 (221).jpg,White,0 (221),0.053843,7768273,5367,0.67333,1
White_0 (222).jpg,White,0 (222),0.063056,9128635,5219,0.726339,2
White_0 (223).jpg,White,0 (223),0.076056,11402127,5203,0.823349,2
White_0 (224).jpg,White,0 (224),0.085154,12583632,5096,0.800212,2
White_0 (225).jpg,White,0 (225),0.092195,13295461,5059,0.807255,2
White_0 (226).jpg,White,0 (226),0.095576,13802020,4964,0.808385,2
White_0 (227).jpg,White,0 (227),0.103363,15004858,4583,0.831911,2
White_0 (228).jpg,White,0 (228),0.106424,15579461,4896,0.828885,2
White_0 (229).jpg,White,0 (229),0.109728,15896811,4967,0.824574,2
White_0 (23).jpg,White,0 (23),0.021316,3333550,2405,0.686129,1
White_0 (230).jpg,White,0 (230),0.092025,12725543,2329,0.749192,2
White_0 (231).jpg,White,0 (231),0.078126,10670103,2278,0.677254,2
White_0 (232).jpg,White,0 (232),0.064695,8965241,2841,0.653305,2
White_0 (233).jpg,White,0 (233),0.049574,6660476,2960,0.579355,1
White_0 (234).jpg,White,0 (234),0.064413,8891847,3136,0.711352,2
White_0 (235).jpg,White,0 (235),0.067748,9384164,4580,0.709964,2
